numEl;sortName;arrKind;avgTime
1000;bubbleSort;arr07;4084360
1000;bubbleSort;arr0max;4403190
1000;bubbleSort;arrNearlySorted;3412650
1000;bubbleSort;arrReverseSorted;4567740
1000;bubbleSort1;arr07;3607600
1000;bubbleSort1;arr0max;4181890
1000;bubbleSort1;arrNearlySorted;10000
1000;bubbleSort1;arrReverseSorted;4589390
1000;bubbleSort2;arr07;2432820
1000;bubbleSort2;arr0max;2811260
1000;bubbleSort2;arrNearlySorted;5010
1000;bubbleSort2;arrReverseSorted;3017830
1000;insertionSort;arr07;848310
1000;insertionSort;arr0max;936330
1000;insertionSort;arrNearlySorted;5740
1000;insertionSort;arrReverseSorted;1866240
1000;binInsertionSort;arr07;736000
1000;binInsertionSort;arr0max;824550
1000;binInsertionSort;arrNearlySorted;5000
1000;binInsertionSort;arrReverseSorted;1572300
1000;countingSort;arr07;19920
1000;countingSort;arr0max;230260
1000;countingSort;arrNearlySorted;25050
1000;countingSort;arrReverseSorted;89910
1000;radixSort;arr07;60030
1000;radixSort;arr0max;60040
1000;radixSort;arrNearlySorted;80070
1000;radixSort;arrReverseSorted;80060
2000;bubbleSort;arr07;16333810
2000;bubbleSort;arr0max;17190960
2000;bubbleSort;arrNearlySorted;13879550
2000;bubbleSort;arrReverseSorted;18783460
2000;bubbleSort1;arr07;14326200
2000;bubbleSort1;arr0max;17058090
2000;bubbleSort1;arrNearlySorted;3279110
2000;bubbleSort1;arrReverseSorted;18859240
2000;bubbleSort2;arr07;10023710
2000;bubbleSort2;arr0max;11142090
2000;bubbleSort2;arrNearlySorted;2322200
2000;bubbleSort2;arrReverseSorted;12219960
2000;insertionSort;arr07;3308180
2000;insertionSort;arr0max;3791590
2000;insertionSort;arrNearlySorted;10000
2000;insertionSort;arrReverseSorted;7656020
2000;binInsertionSort;arr07;2985710
2000;binInsertionSort;arr0max;3451710
2000;binInsertionSort;arrNearlySorted;60050
2000;binInsertionSort;arrReverseSorted;6175470
2000;countingSort;arr07;30210
2000;countingSort;arr0max;275180
2000;countingSort;arrNearlySorted;60020
2000;countingSort;arrReverseSorted;104930
2000;radixSort;arr07;110130
2000;radixSort;arr0max;140250
2000;radixSort;arrNearlySorted;140130
2000;radixSort;arrReverseSorted;134870
3000;bubbleSort;arr07;37633540
3000;bubbleSort;arr0max;39510910
3000;bubbleSort;arrNearlySorted;31214500
3000;bubbleSort;arrReverseSorted;42204050
3000;bubbleSort1;arr07;32899260
3000;bubbleSort1;arr0max;38279330
3000;bubbleSort1;arrNearlySorted;4774490
3000;bubbleSort1;arrReverseSorted;41478780
3000;bubbleSort2;arr07;22728810
3000;bubbleSort2;arr0max;25160530
3000;bubbleSort2;arrNearlySorted;2798210
3000;bubbleSort2;arrReverseSorted;27313590
3000;insertionSort;arr07;7135890
3000;insertionSort;arr0max;8686920
3000;insertionSort;arrNearlySorted;25020
3000;insertionSort;arrReverseSorted;16906600
3000;binInsertionSort;arr07;5989890
3000;binInsertionSort;arr0max;7341380
3000;binInsertionSort;arrNearlySorted;64950
3000;binInsertionSort;arrReverseSorted;13439600
3000;countingSort;arr07;45050
3000;countingSort;arr0max;275230
3000;countingSort;arrNearlySorted;85190
3000;countingSort;arrReverseSorted;119800
3000;radixSort;arr07;185030
3000;radixSort;arr0max;194660
3000;radixSort;arrNearlySorted;165340
3000;radixSort;arrReverseSorted;175110
4000;bubbleSort;arr07;68726700
4000;bubbleSort;arr0max;71489760
4000;bubbleSort;arrNearlySorted;55079560
4000;bubbleSort;arrReverseSorted;74215860
4000;bubbleSort1;arr07;61544380
4000;bubbleSort1;arr0max;70988180
4000;bubbleSort1;arrNearlySorted;6433500
4000;bubbleSort1;arrReverseSorted;74476910
4000;bubbleSort2;arr07;43127210
4000;bubbleSort2;arr0max;46848720
4000;bubbleSort2;arrNearlySorted;2802040
4000;bubbleSort2;arrReverseSorted;48007080
4000;insertionSort;arr07;13083190
4000;insertionSort;arr0max;15438470
4000;insertionSort;arrNearlySorted;39870
4000;insertionSort;arrReverseSorted;30415650
4000;binInsertionSort;arr07;10608730
4000;binInsertionSort;arr0max;12714530
4000;binInsertionSort;arrNearlySorted;69860
4000;binInsertionSort;arrReverseSorted;24082740
4000;countingSort;arr07;45030
4000;countingSort;arr0max;282640
4000;countingSort;arrNearlySorted;100340
4000;countingSort;arrReverseSorted;149820
4000;radixSort;arr07;196130
4000;radixSort;arr0max;264410
4000;radixSort;arrNearlySorted;215490
4000;radixSort;arrReverseSorted;245860
5000;bubbleSort;arr07;112399430
5000;bubbleSort;arr0max;116838860
5000;bubbleSort;arrNearlySorted;86163460
5000;bubbleSort;arrReverseSorted;116234220
5000;bubbleSort1;arr07;100067300
5000;bubbleSort1;arr0max;116418300
5000;bubbleSort1;arrNearlySorted;7865110
5000;bubbleSort1;arrReverseSorted;116412220
5000;bubbleSort2;arr07;71930070
5000;bubbleSort2;arr0max;77921920
5000;bubbleSort2;arrNearlySorted;2811610
5000;bubbleSort2;arrReverseSorted;75295950
5000;insertionSort;arr07;20357690
5000;insertionSort;arr0max;23930940
5000;insertionSort;arrNearlySorted;30050
5000;insertionSort;arrReverseSorted;47297630
5000;binInsertionSort;arr07;16719370
5000;binInsertionSort;arr0max;19738980
5000;binInsertionSort;arrNearlySorted;45180
5000;binInsertionSort;arrReverseSorted;37439860
5000;countingSort;arr07;74990
5000;countingSort;arr0max;300800
5000;countingSort;arrNearlySorted;149610
5000;countingSort;arrReverseSorted;115030
5000;radixSort;arr07;305450
5000;radixSort;arr0max;295160
5000;radixSort;arrNearlySorted;295080
5000;radixSort;arrReverseSorted;300180
6000;bubbleSort;arr07;167804270
6000;bubbleSort;arr0max;173906400
6000;bubbleSort;arrNearlySorted;124224210
6000;bubbleSort;arrReverseSorted;167295410
6000;bubbleSort1;arr07;151430830
6000;bubbleSort1;arr0max;173460970
6000;bubbleSort1;arrNearlySorted;9638280
6000;bubbleSort1;arrReverseSorted;168572240
6000;bubbleSort2;arr07;111597230
6000;bubbleSort2;arr0max;119520070
6000;bubbleSort2;arrNearlySorted;2904850
6000;bubbleSort2;arrReverseSorted;111605610
6000;insertionSort;arr07;29885110
6000;insertionSort;arr0max;35140200
6000;insertionSort;arrNearlySorted;49930
6000;insertionSort;arrReverseSorted;69000260
6000;binInsertionSort;arr07;24131430
6000;binInsertionSort;arr0max;28456460
6000;binInsertionSort;arrNearlySorted;75340
6000;binInsertionSort;arrReverseSorted;54534020
6000;countingSort;arr07;60000
6000;countingSort;arr0max;355400
6000;countingSort;arrNearlySorted;150200
6000;countingSort;arrReverseSorted;170170
6000;radixSort;arr07;348060
6000;radixSort;arr0max;355370
6000;radixSort;arrNearlySorted;376310
6000;radixSort;arrReverseSorted;376740
7000;bubbleSort;arr07;234561370
7000;bubbleSort;arr0max;243662490
7000;bubbleSort;arrNearlySorted;168782860
7000;bubbleSort;arrReverseSorted;227599410
7000;bubbleSort1;arr07;212268800
7000;bubbleSort1;arr0max;243170910
7000;bubbleSort1;arrNearlySorted;11032170
7000;bubbleSort1;arrReverseSorted;226734960
7000;bubbleSort2;arr07;156441220
7000;bubbleSort2;arr0max;167291890
7000;bubbleSort2;arrNearlySorted;2992850
7000;bubbleSort2;arrReverseSorted;148813060
7000;insertionSort;arr07;40017180
7000;insertionSort;arr0max;46701950
7000;insertionSort;arrNearlySorted;39960
7000;insertionSort;arrReverseSorted;92574190
7000;binInsertionSort;arr07;32685440
7000;binInsertionSort;arr0max;38121910
7000;binInsertionSort;arrNearlySorted;70020
7000;binInsertionSort;arrReverseSorted;73459420
7000;countingSort;arr07;100230
7000;countingSort;arr0max;355370
7000;countingSort;arrNearlySorted;174990
7000;countingSort;arrReverseSorted;170130
7000;radixSort;arr07;410150
7000;radixSort;arr0max;425260
7000;radixSort;arrNearlySorted;415110
7000;radixSort;arrReverseSorted;420290
8000;bubbleSort;arr07;314930650
8000;bubbleSort;arr0max;325962150
8000;bubbleSort;arrNearlySorted;221463080
8000;bubbleSort;arrReverseSorted;298586490
8000;bubbleSort1;arr07;287088910
8000;bubbleSort1;arr0max;329144470
8000;bubbleSort1;arrNearlySorted;12872560
8000;bubbleSort1;arrReverseSorted;298104930
8000;bubbleSort2;arr07;211211460
8000;bubbleSort2;arr0max;224577410
8000;bubbleSort2;arrNearlySorted;2912770
8000;bubbleSort2;arrReverseSorted;193541070
8000;insertionSort;arr07;52277370
8000;insertionSort;arr0max;60969300
8000;insertionSort;arrNearlySorted;59980
8000;insertionSort;arrReverseSorted;120165990
8000;binInsertionSort;arr07;42118690
8000;binInsertionSort;arr0max;49460170
8000;binInsertionSort;arrNearlySorted;84740
8000;binInsertionSort;arrReverseSorted;95670840
8000;countingSort;arr07;125090
8000;countingSort;arr0max;355230
8000;countingSort;arrNearlySorted;215420
8000;countingSort;arrReverseSorted;180120
8000;radixSort;arr07;475370
8000;radixSort;arr0max;495610
8000;radixSort;arrNearlySorted;500280
8000;radixSort;arrReverseSorted;455360
9000;bubbleSort;arr07;408818720
9000;bubbleSort;arr0max;421994140
9000;bubbleSort;arrNearlySorted;281827720
9000;bubbleSort;arrReverseSorted;377904290
9000;bubbleSort1;arr07;383334960
9000;bubbleSort1;arr0max;438071430
9000;bubbleSort1;arrNearlySorted;14600910
9000;bubbleSort1;arrReverseSorted;390056670
9000;bubbleSort2;arr07;280943940
9000;bubbleSort2;arr0max;297817650
9000;bubbleSort2;arrNearlySorted;10612920
9000;bubbleSort2;arrReverseSorted;249379080
9000;insertionSort;arr07;67954100
9000;insertionSort;arr0max;79404120
9000;insertionSort;arrNearlySorted;89970
9000;insertionSort;arrReverseSorted;156293020
9000;binInsertionSort;arr07;53828430
9000;binInsertionSort;arr0max;63181950
9000;binInsertionSort;arrNearlySorted;105240
9000;binInsertionSort;arrReverseSorted;123134050
9000;countingSort;arr07;140320
9000;countingSort;arr0max;438330
9000;countingSort;arrNearlySorted;225740
9000;countingSort;arrReverseSorted;180210
9000;radixSort;arr07;539520
9000;radixSort;arr0max;550770
9000;radixSort;arrNearlySorted;582110
9000;radixSort;arrReverseSorted;547950
